section,dataset,method,NMI,AMI,ARI,runtime_hours,runtime_scope,llm_calls,failed_attempts,total_tokens,token_change_percent,time_reduction_percent,blocks,quality_scope,efficiency_scope,anchor_verification
main,Event2012,RagSEDE,0.89637,0.88610,0.78386,11.15,E2E,2702,128,1789346,,,M7-M21,mean_seeds_42_52_62,seed_42,blockwise_anchor_counts_equal_hashes_incomplete
main,Event2012,MvSED,0.89660,0.88615,0.78455,9.89,E2E,2668,71,2076868,16.07,11.3,M7-M21,mean_seeds_42_52_62,seed_42,blockwise_anchor_counts_equal_hashes_incomplete
main,Event2018,RagSEDE,0.75418,0.74012,0.61094,23.22,E2E,4749,123,,,,M1-M16,seed_42,seed_42,ordered_anchor_hash_match
main,Event2018,MvSED,0.76400,0.75284,0.66762,18.04,E2E,4468,57,,11.9,22.3,M1-M16,seed_42,seed_42,ordered_anchor_hash_match
ablation,Event2012,RagSEDE,0.89593,0.88557,0.78158,11.02,Proc,2702,128,1789346,,,M7-M21,seed_42,seed_42,blockwise_anchor_counts_equal_hashes_incomplete
ablation,Event2012,MVRA,0.89470,0.88428,0.78443,10.76,Proc,2741,51,2148513,20.07,2.41,M7-M21,seed_42,seed_42,blockwise_anchor_counts_equal_hashes_incomplete
ablation,Event2012,NoTime,0.89224,0.88167,0.77369,11.65,Proc,2641,70,2070609,15.72,-5.73,M7-M21,seed_42,seed_42,blockwise_anchor_counts_equal_hashes_incomplete
ablation,Event2012,MvSED,0.89306,0.88199,0.77432,9.78,Proc,2668,71,2076868,16.07,11.26,M7-M21,seed_42,seed_42,blockwise_anchor_counts_equal_hashes_incomplete
ablation,Event2018,RagSEDE,0.75418,0.74012,0.61094,23.12,Proc,4749,123,,,,M1-M16,seed_42,seed_42,ordered_anchor_hash_match
ablation,Event2018,MVRA,0.77229,0.76044,0.65022,20.46,Proc,4753,80,,,11.49,M1-M16,seed_42,seed_42,ordered_anchor_hash_match
ablation,Event2018,NoTime,0.75317,0.74126,0.63830,17.06,Proc,4467,63,,,26.18,M1-M16,seed_42,seed_42,ordered_anchor_hash_match
ablation,Event2018,MvSED,0.76400,0.75284,0.66762,17.93,Proc,4468,57,,11.9,22.45,M1-M16,seed_42,seed_42,ordered_anchor_hash_match
